date,open,high,low,close
2011-05-17,101.409488,101.913902,100.973855,101.776329
2011-05-18,101.829825,102.792787,101.608184,102.685791
2011-05-19,103.022101,103.197877,102.364838,102.930382
2011-05-20,102.662915,102.930399,101.921583,102.112648
2011-05-23,100.866836,101.432392,100.568776,100.927979
2011-05-24,101.218470,101.440100,100.652914,100.843979
2011-05-25,100.438905,101.600582,100.408340,101.180237
2011-05-26,100.905152,101.829911,100.714087,101.646484
2011-05-27,101.929206,102.311335,101.615868,102.036201
2011-05-31,102.999180,103.113814,102.288413,103.098526
2011-06-01,102.800473,103.113822,100.698760,100.782829
2011-06-02,100.851561,101.065553,100.087303,100.675774
2011-06-03,99.468268,100.438880,99.414776,99.674622
2011-06-06,99.422439,99.628792,98.490042,98.619965
2011-06-07,99.124397,99.407181,98.474784,98.558853
2011-06-08,98.405979,98.734616,97.962707,98.146133
2011-06-09,98.413621,99.300152,98.176702,98.895096
2011-06-10,98.474762,98.535892,97.259587,97.519432
2011-06-13,97.741067,98.008562,97.099092,97.595856
2011-06-14,98.490043,99.177883,98.451840,98.833969
2011-06-15,98.008544,98.818656,96.816296,97.076141
2011-06-16,97.106750,97.802229,96.541200,97.290176
2011-06-17,98.256362,98.264045,97.250222,97.580482
2011-06-20,97.250217,98.287080,97.219494,98.079704
2011-06-21,98.586628,99.615810,98.118119,99.423798
2011-06-22,99.116569,99.700281,98.763262,98.824707
2011-06-23,97.664946,98.801653,96.919939,98.540520
2011-06-24,98.517481,98.594278,97.250201,97.396126
2011-06-27,97.457601,98.640389,97.265589,98.264053
2011-06-28,98.655693,99.561995,98.517450,99.546631
2011-06-29,99.999820,100.560492,99.562039,100.399208
2011-06-30,100.721795,101.520559,100.391540,101.359276
2011-07-01,101.451465,102.995249,101.213372,102.856995
2011-07-05,102.749428,102.979845,102.449890,102.772469
2011-07-06,102.526711,103.025937,102.234849,102.895370
2011-07-07,103.809367,104.224108,103.594315,103.962975
2011-07-08,102.787873,103.962986,102.449930,103.225655
2011-07-11,101.958352,102.288607,101.121183,101.359276
2011-07-12,101.144234,101.981403,100.890777,100.921494
2011-07-13,101.451411,102.319309,101.013630,101.259399
2011-07-14,101.512908,101.981418,100.368512,100.560524
2011-07-15,101.121163,101.282446,100.437601,101.144203
